BTS,Billie Eilish,Khalid,Post Malone,Ariana Grande,P!nk,Ed Sheeran,Lil Nas X,Luke Combs,Sammy Hagar,Logic,Queen,Jonas Brothers,Shawn Mendes,Imagine Dragons,Justin Bieber,Halsey,Taylor Swift,Panic! At The Disco,newsboys,Nipsey Hussle,Anderson .Paak,Cardi B,Drake,Kane Brown,Billy Ray Cyrus,Lady Gaga,Marshmello,Juice WRLD,Bruno Mars,Lauren Daigle,Chris Stapleton,Bradley Cooper,Travis Scott,Florida Georgia Line,Future,Maggie Rogers,Cody Johnson,XXXTENTACION,Dan + Shay,21 Savage,Michael Buble,Pentatonix,Mariah Carey,Kodak Black,6ix9ine,Andrea Bocelli,Joji,Eminem,Maroon 5,Lil Wayne,Cher,Kevin Gates,Tom Petty And The Heartbreakers,5 Seconds Of Summer,Troye Sivan,Why Don't We,Aretha Franklin,Nicki Minaj,Ella Mai,Mac Miller,Kenny Chesney,YG,twenty one pilots,Jason Aldean,Dave Matthews Band,KIDS SEE GHOSTS,Dierks Bentley,Kanye West,Dua Lipa,Camila Cabello,Charlie Puth,Childish Gambino,J. Cole,Arctic Monkeys,Kendrick Lamar,The Weeknd,Breaking Benjamin,John Prine,Metallica,Migos,Scotty McCreery,The Decemberists,Justin Timberlake,Brandi Carlile,Fall Out Boy,Sam Smith,Def Leppard,NF,Huncho Jack,Beyonce,G-Eazy,Demi Lovato,Garth Brooks,Lil Pump,Faith Hill,Tim McGraw,Blake Shelton,Lil Uzi Vert,Niall Horan,Young Thug,Chris Young,Portugal. The Man,Darius Rucker,The Killers,Macklemore,Thomas Rhett,SZA,Queens Of The Stone Age,Old Dominion,Fifth Harmony,DJ Khaled,Arcade Fire,Linkin Park,Sam Hunt,The Chainsmokers,JAY-Z,Selena Gomez,Meek Mill,Calvin Harris,Stone Sour,The Beatles,Alessia Cara,Gorillaz,Harry Styles,Rihanna,Adele,Joey Bada$$,Big Sean,Katy Perry,Zayn,The xx,Rae Sremmurd,Gucci Mane,Elvis Presley,Miranda Lambert,Sia,A Tribe Called Quest,Zay Hilfigerrr & Zayion McCall,DJ Snake,Korn,Chris Tomlin,Luke Bryan,Bruce Springsteen,Barbra Streisand,Britney Spears,Frank Ocean,Juan Gabriel,Meghan Trainor,Coldplay,Jake Owen,Hillary Scott & The Scott Family,Blink-182,Maxwell,Paul Simon,Prince,Volbeat,Desiigner,Maren Morris,Radiohead,Keith Urban,Cole Swindell,Lukas Graham,Mike Posner,The Lumineers,Deftones,Flo Rida,Joey + Rory,Bryson Tiller,Fetty Wap,David Bowie,Eagles,One Direction,Chris Brown,Kidz Bop Kids,Ellie Goulding,Elle King,Carrie Underwood,George Strait,Don Henley,Disclosure,Silento,OMI,Led Zeppelin,Zac Brown Band,Rachel Platten,WALK THE MOON,Wiz Khalifa,Miguel,Jason Derulo,Muse,Of Monsters And Men,The Rolling Stones,Andy Grammer,Mumford & Sons,David Guetta,Tove Lo,Reba McEntire,Halestorm,"Tyler, The Creator",Mark Ronson,Modest Mouse,Nick Jonas,Hozier,Ne-Yo,Marilyn Manson,Iggy Azalea,Pitbull,Idina Menzel,Lady Antebellum,Jeezy,MAGIC!,Charli XCX,Godsmack,OneRepublic,Nico & Vinz,Pharrell Williams,Trey Songz,John Legend
20,6,11,18,14,4,16,2,11,1,3,8,2,9,19,3,10,9,8,1,2,1,17,18,6,1,6,2,9,10,3,5,3,9,4,3,1,1,9,1,1,2,2,2,1,2,1,1,5,7,1,1,1,1,1,1,1,1,3,3,1,1,1,2,3,1,1,1,1,4,5,4,1,2,1,6,4,1,1,1,4,0,0,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,2,2,2,5,1,1,6,2,1,6,1,6,1,6,1,1,1,5,5,1,1,4,2,4,2,2,1,2,4,1,0,0,0,2,0,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,15,13,9,5,11,2,7,1,3,8,2,4,15,3,10,5,7,1,2,1,13,10,2,1,6,2,6,8,3,3,3,7,1,3,1,1,6,1,3,2,3,2,1,1,1,1,4,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,6,1,0,0,0,1,0,0,1,1,0,3,0,0,1,1,1,4,0,0,0,0,0,2,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,13,22,13,6,18,2,11,1,3,8,2,8,22,1,12,11,8,1,2,1,21,17,6,1,6,2,9,11,3,6,3,9,4,3,1,1,10,1,4,2,4,2,1,2,1,1,6,8,1,1,1,2,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,5,8,7,1,1,1,9,2,1,1,2,3,1,1,3,1,1,5,1,1,1,1,1,4,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,9,13,43,5,27,2,12,1,2,8,2,20,18,19,11,25,8,1,1,1,12,37,4,1,8,2,9,15,3,3,3,9,16,10,1,1,8,2,1,5,9,3,1,2,1,1,3,23,1,1,3,1,5,1,1,1,14,3,1,2,1,16,6,1,1,1,5,1,1,3,0,3,0,3,19,0,0,3,4,0,0,5,0,4,12,0,0,0,13,0,2,1,0,0,0,6,2,2,1,0,0,0,0,0,0,0,0,0,3,2,0,0,8,10,0,12,0,3,0,1,5,0,0,16,17,1,3,8,4,1,3,1,1,2,10,1,1,1,1,1,7,1,2,1,1,1,21,1,1,1,1,1,1,3,1,3,1,1,1,1,3,1,1,1,2,1,2,6,0,0,8,4,0,7,1,2,0,0,0,0,0,1,1,0,2,3,0,3,0,0,0,1,1,1,4,1,1,1,4,1,5,5,1,1,7,1,1,1,1,3,3,1,2,2,2,1,1
4,2,5,6,5,10,6,1,2,1,2,2,1,6,7,5,3,6,2,1,1,0,6,6,1,0,1,0,1,5,1,2,1,1,3,2,0,0,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,3,5,1,1,1,5,1,0,0,0,1,0,0,4,1,0,2,0,0,0,3,0,3,1,1,1,1,4,2,2,1,1,1,1,0,0,0,0,1,1,4,2,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,11,18,27,6,46,1,9,1,5,4,1,22,27,14,11,32,4,1,1,0,18,35,5,0,4,1,6,24,1,8,2,6,11,13,1,1,9,1,3,0,6,0,1,1,1,1,6,29,1,1,1,2,6,1,1,1,19,3,1,2,1,5,7,1,1,1,2,5,8,10,1,3,1,16,22,1,1,4,10,1,1,4,1,9,19,1,1,1,7,1,9,1,1,1,1,4,6,5,1,1,2,1,1,1,2,1,1,1,1,5,1,1,15,8,1,10,2,2,1,1,6,1,2,6,6,2,3,8,1,1,1,0,0,1,4,0,0,0,0,0,10,0,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,3,0,7,1,2,1,1,1,3,4,2,4,2,4,5,1,5,1,1,1,2,1,1,4,1,1,1,4,1,5,5,1,1,7,1,1,1,1,3,3,1,2,2,2,1,1
2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,7,11,12,2,9,2,12,1,2,6,2,5,12,2,7,5,7,1,1,1,10,11,4,1,4,2,7,4,1,2,2,7,4,3,1,1,6,1,1,1,1,1,1,1,0,0,2,5,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,3,2,2,5,1,2,1,5,1,1,4,5,3,2,2,1,1,0,0,3,3,0,0,0,0,1,3,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,8,8,8,2,4,2,6,1,1,8,2,1,8,1,8,1,7,1,1,1,7,7,2,1,6,2,5,2,3,1,3,6,1,1,1,1,4,1,1,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,4,8,20,6,22,1,5,1,4,1,1,32,13,23,7,18,3,1,0,0,8,29,4,0,2,0,2,18,0,6,0,1,8,13,0,0,5,1,0,3,6,1,1,0,0,0,0,13,0,0,0,0,2,0,0,0,5,2,1,1,1,15,4,1,1,1,3,3,4,7,1,3,1,10,21,1,1,6,9,1,1,4,0,1,3,0,0,0,7,0,6,1,0,0,0,4,5,6,1,0,1,0,1,1,2,1,1,1,4,6,1,1,11,14,1,11,1,3,1,1,7,1,2,13,16,1,2,1,1,1,3,1,1,1,6,1,1,1,1,1,5,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,2,7,1,1,6,3,1,5,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,15,22,18,7,27,2,12,1,5,8,2,13,31,6,14,16,8,1,2,1,22,24,6,1,6,2,9,18,3,9,3,9,6,7,1,1,11,1,4,2,5,2,1,2,1,1,6,12,1,1,1,2,1,1,1,1,7,3,1,1,1,1,4,1,1,1,2,5,8,10,1,1,1,15,8,1,1,2,6,1,1,3,1,3,9,1,1,1,3,1,5,1,1,1,1,2,5,5,1,1,2,1,1,1,1,1,1,1,1,5,1,1,6,4,1,4,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,3,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
3,1,3,1,19,5,14,1,2,1,3,1,1,23,6,28,6,17,2,1,0,0,1,26,0,0,2,0,0,11,0,6,0,0,5,15,0,0,1,1,0,3,5,1,0,0,0,0,0,8,0,0,3,0,2,0,0,0,3,0,0,0,0,17,1,0,0,0,3,0,0,7,0,2,0,6,22,0,0,3,6,0,0,4,0,2,2,0,0,0,8,1,5,1,0,0,0,4,4,5,1,0,0,0,0,0,1,0,1,1,4,6,1,1,11,13,1,15,1,3,1,1,6,1,1,15,19,0,2,1,5,1,3,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,14,2,1,1,1,1,1,2,1,3,1,1,1,1,3,1,1,1,4,2,4,9,1,1,7,3,1,4,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,10,12,11,3,11,2,7,1,2,8,2,7,14,6,17,4,7,1,2,1,11,15,2,1,6,2,5,8,3,7,3,6,3,3,1,1,5,1,2,2,3,2,1,1,1,1,4,3,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,3,4,6,0,0,0,6,4,0,0,1,4,1,1,3,1,2,2,1,1,1,3,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,3,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,5,11,25,6,32,1,5,1,2,1,1,18,16,17,4,39,3,1,0,0,11,29,3,0,1,0,3,15,0,5,0,2,9,13,0,0,4,0,3,1,6,0,0,1,0,0,3,23,0,0,3,1,4,1,1,1,17,3,1,2,1,11,5,1,1,1,3,3,5,9,1,3,1,9,22,0,0,1,3,0,0,3,0,9,17,1,1,1,9,2,9,1,1,1,1,5,4,3,1,1,2,1,1,1,2,1,1,1,2,1,0,0,12,3,0,14,1,0,0,0,4,0,0,10,12,1,3,6,5,1,1,0,0,0,3,0,0,0,0,0,9,0,1,0,0,0,23,1,0,0,1,1,0,2,0,2,0,1,1,1,3,1,1,1,4,2,4,13,1,1,12,5,1,8,1,2,1,1,1,3,4,2,4,2,4,5,1,4,1,1,1,2,1,1,4,1,1,1,4,1,5,5,1,1,5,1,1,1,1,1,1,0,0,0,0,0,0
8,6,7,8,8,2,4,2,7,1,1,7,2,3,8,2,7,3,9,1,1,1,7,8,2,1,5,2,5,3,2,2,2,5,2,3,1,1,4,1,1,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,2,1,1,1,1,1,0,0,1,1,0,2,0,2,0,1,0,2,1,2,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
